,time,posX,posY,orientation,mac,signal,rawTime,angle,posXY,medSignal,avgSignal,num,sdSignal,iqrSignal,Power,lnPower,avgPower,logAvgPwr,macX,macY,Dist,1/dist,1/dist2,3,00:0f:a3:39:e1:c0,135,-52,,,10
4141,02/11/2006 00:37,0,0,180.3,00:14:bf:b1:97:8d,-63,1.13964E+12,180,0-0,-66,-66,93,1.351327849,2,5.01187E-07,-14.50628609,2.51189E-07,-15.19706161,33.5,9.3,34.76693832,0.028762958,0.000827308,,0,0,,,,
4146,02/11/2006 00:37,0,0,180.3,00:14:bf:b1:97:81,-60,1.13964E+12,180,0-0,-61,-62.42857143,91,3.756898417,3,0.000001,-13.81551056,5.71667E-07,-14.37470979,33.5,2.8,33.61681127,0.029747021,0.000884885,,0,0,,,,
5189,02/11/2006 00:41,0,0,225.6,00:14:bf:b1:97:8a,-33,1.13964E+12,225,0-0,-33,-36.13541667,96,6.100249851,10.5,0.000501187,-7.598530807,0.000243477,-8.320487175,2.5,-0.8,2.62488095,0.380969659,0.145137881,,0,0,,,,
5190,02/11/2006 00:41,0,0,225.6,00:14:bf:b1:97:90,-57,1.13964E+12,225,0-0,-54,-54.1010101,99,2.472274626,3,1.99526E-06,-13.12473503,3.88955E-06,-12.45721794,1,14,14.03566885,0.07124705,0.005076142,,0,0,,,,
5191,02/11/2006 00:41,0,0,225.6,00:0f:a3:39:e1:c0,-53,1.13964E+12,225,0-0,-54,-54.62727273,110,4.334328707,4,5.01187E-06,-12.20370099,3.44566E-06,-12.57839439,7.5,6.3,9.79489663,0.102093982,0.010423181,,1,0,,,,
5192,02/11/2006 00:41,0,0,225.6,00:14:bf:3b:c7:c6,-64,1.13964E+12,225,0-0,-65,-64.89247312,93,2.393207624,2,3.98107E-07,-14.7365446,3.24155E-07,-14.94204412,12.8,-2.8,13.10267148,0.076320314,0.00582479,,0,0,,,,
5193,02/11/2006 00:41,0,0,225.6,00:14:bf:b1:97:8d,-66,1.13964E+12,225,0-0,-66,-66.20879121,91,1.159659754,1,2.51189E-07,-15.19706161,2.39398E-07,-15.24513757,33.5,9.3,34.76693832,0.028762958,0.000827308,,0,0,,,,
5201,02/11/2006 00:41,0,0,225.6,00:14:bf:b1:97:81,-61,1.13964E+12,225,0-0,-62,-64.01204819,83,5.023102665,2,7.94328E-07,-14.04576907,3.97004E-07,-14.73931879,33.5,2.8,33.61681127,0.029747021,0.000884885,,0,0,,,,
6223,02/11/2006 00:42,0,0,270.1,00:14:bf:b1:97:8a,-35,1.13964E+12,270,0-0,-38,-38.55670103,97,2.245222113,2,0.000316228,-8.059047825,0.000139422,-8.878008503,2.5,-0.8,2.62488095,0.380969659,0.145137881,,0,0,,,,
6224,02/11/2006 00:42,0,0,270.1,00:0f:a3:39:e1:c0,-55,1.13964E+12,270,0-0,-53,-54.63636364,110,3.502888121,6,3.16228E-06,-12.66421801,3.43846E-06,-12.58048764,7.5,6.3,9.79489663,0.102093982,0.010423181,,1,0,,,,
6225,02/11/2006 00:42,0,0,270.1,00:14:bf:b1:97:8d,-63,1.13964E+12,270,0-0,-63,-64.31395349,86,2.631312032,5,5.01187E-07,-14.50628609,3.70343E-07,-14.80883506,33.5,9.3,34.76693832,0.028762958,0.000827308,,0,0,,,,
6227,02/11/2006 00:42,0,0,270.1,00:14:bf:3b:c7:c6,-70,1.13964E+12,270,0-0,-68,-67.93137255,102,3.11896087,2,0.0000001,-16.11809565,1.61014E-07,-15.64177658,12.8,-2.8,13.10267148,0.076320314,0.00582479,,0,0,,,,
6229,02/11/2006 00:42,0,0,270.1,00:14:bf:b1:97:81,-63,1.13964E+12,270,0-0,-64,-68.06097561,82,7.199704317,13.75,5.01187E-07,-14.50628609,1.5628E-07,-15.67161879,33.5,2.8,33.61681127,0.029747021,0.000884885,,0,0,,,,
6233,02/11/2006 00:42,0,0,270.1,00:14:bf:b1:97:90,-57,1.13964E+12,270,0-0,-58,-57.94680851,94,2.38438929,2,1.99526E-06,-13.12473503,1.60442E-06,-13.34274575,1,14,14.03566885,0.07124705,0.005076142,,0,0,,,,
7247,02/11/2006 00:43,0,0,315,00:14:bf:b1:97:90,-53,1.13964E+12,315,0-0,-59,-59.27272727,99,2.346591892,2,5.01187E-06,-12.20370099,1.1823E-06,-13.64804982,1,14,14.03566885,0.07124705,0.005076142,,0,0,,,,
7248,02/11/2006 00:43,0,0,315,00:14:bf:b1:97:8d,-66,1.13964E+12,315,0-0,-68,-68.02439024,82,2.424034031,3,2.51189E-07,-15.19706161,1.57602E-07,-15.66319469,33.5,9.3,34.76693832,0.028762958,0.000827308,,0,0,,,,
7249,02/11/2006 00:43,0,0,315,00:0f:a3:39:e1:c0,-65,1.13964E+12,315,0-0,-52,-52.82727273,110,2.929943767,1,3.16228E-07,-14.9668031,5.21522E-06,-12.16392907,7.5,6.3,9.79489663,0.102093982,0.010423181,,1,0,,,,
7255,02/11/2006 00:43,0,0,315,00:14:bf:3b:c7:c6,-61,1.13964E+12,315,0-0,-63,-64.28431373,102,4.025604809,2,7.94328E-07,-14.04576907,3.7288E-07,-14.80201025,12.8,-2.8,13.10267148,0.076320314,0.00582479,,0,0,,,,
7257,02/11/2006 00:43,0,0,315,00:14:bf:b1:97:81,-71,1.13964E+12,315,0-0,-68,-68.1744186,86,1.886121825,3,7.94328E-08,-16.34835416,1.5225E-07,-15.69774,33.5,2.8,33.61681127,0.029747021,0.000884885,,0,0,,,,
7262,02/11/2006 00:43,0,0,315,00:14:bf:b1:97:8a,-49,1.13964E+12,315,0-0,-47,-46.92708333,96,2.349668696,4,1.25893E-05,-11.28266696,2.02904E-05,-10.80536025,2.5,-0.8,2.62488095,0.380969659,0.145137881,,0,0,,,,
8311,02/11/2006 00:46,1,0,0,00:14:bf:b1:97:8a,-43,1.13964E+12,0,Jan-00,-47,-46.67,100,1.378441515,2,5.01187E-05,-9.9011159,2.15278E-05,-10.74616463,2.5,-0.8,1.7,0.588235294,0.346020761,,0,0,,,,
8313,02/11/2006 00:46,1,0,0,00:0f:a3:39:e1:c0,-45,1.13964E+12,0,Jan-00,-50,-48.59090909,110,2.971718233,5,3.16228E-05,-10.36163292,1.38328E-05,-11.18847029,7.5,6.3,9.052071586,0.11047195,0.012204052,,1,0,,,,
8314,02/11/2006 00:46,1,0,0,00:14:bf:b1:97:90,-50,1.13964E+12,0,Jan-00,-50,-49.57407407,108,1.269363692,1,0.00001,-11.51292546,1.10304E-05,-11.4148524,1,14,14,0.071428571,0.005102041,,0,0,,,,
8315,02/11/2006 00:46,1,0,0,00:14:bf:b1:97:81,-63,1.13964E+12,0,Jan-00,-68,-68.28421053,95,5.037441004,9.5,5.01187E-07,-14.50628609,1.4845E-07,-15.72302052,33.5,2.8,32.62039239,0.03065567,0.00093977,,0,0,,,,
8317,02/11/2006 00:46,1,0,0,00:14:bf:b1:97:8d,-69,1.13964E+12,0,Jan-00,-65,-65.05681818,88,3.014745198,4,1.25893E-07,-15.88783714,3.12118E-07,-14.97988597,33.5,9.3,33.80443758,0.029581915,0.00087509,,0,0,,,,
8324,02/11/2006 00:46,1,0,0,00:14:bf:3b:c7:c6,-62,1.13964E+12,0,Jan-00,-63,-63.52808989,89,1.187911533,1,6.30957E-07,-14.27602758,4.43804E-07,-14.62788328,12.8,-2.8,12.12765435,0.082456176,0.006799021,,0,0,,,,
9369,02/11/2006 00:47,1,0,45.1,00:14:bf:b1:97:8a,-38,1.13964E+12,45,Jan-00,-39,-39.34375,96,2.558075448,1.25,0.000158489,-8.749823353,0.000116312,-9.059233225,2.5,-0.8,1.7,0.588235294,0.346020761,,0,0,,,,
9371,02/11/2006 00:47,1,0,45.1,00:14:bf:b1:97:90,-51,1.13964E+12,45,Jan-00,-54,-53.96039604,101,3.013040962,4,7.94328E-06,-11.74318397,4.01754E-06,-12.42484035,1,14,14,0.071428571,0.005102041,,0,0,,,,
9372,02/11/2006 00:47,1,0,45.1,00:0f:a3:39:e1:c0,-49,1.13964E+12,45,Jan-00,-48,-48.6,110,3.220348149,2,1.25893E-05,-11.28266696,1.38038E-05,-11.19056355,7.5,6.3,9.052071586,0.11047195,0.012204052,,1,0,,,,
9381,02/11/2006 00:47,1,0,45.1,00:14:bf:3b:c7:c6,-63,1.13964E+12,45,Jan-00,-61,-61.53333333,90,1.580783478,1,5.01187E-07,-14.50628609,7.02533E-07,-14.16857361,12.8,-2.8,12.12765435,0.082456176,0.006799021,,0,0,,,,
9382,02/11/2006 00:47,1,0,45.1,00:14:bf:b1:97:81,-61,1.13964E+12,45,Jan-00,-63,-64.1627907,86,2.638450816,4,7.94328E-07,-14.04576907,3.83461E-07,-14.77402854,33.5,2.8,32.62039239,0.03065567,0.00093977,,0,0,,,,
9390,02/11/2006 00:47,1,0,45.1,00:14:bf:b1:97:8d,-61,1.13964E+12,45,Jan-00,-62,-62.44705882,85,1.776204369,2,7.94328E-07,-14.04576907,5.69238E-07,-14.37896667,33.5,9.3,33.80443758,0.029581915,0.00087509,,0,0,,,,
10445,02/11/2006 00:48,1,0,90.7,00:14:bf:b1:97:8a,-35,1.13964E+12,90,Jan-00,-32,-32.80188679,106,5.774195159,2,0.000316228,-8.059047825,0.00052458,-7.552913555,2.5,-0.8,1.7,0.588235294,0.346020761,,0,0,,,,
10446,02/11/2006 00:48,1,0,90.7,00:0f:a3:39:e1:c0,-45,1.13964E+12,90,Jan-00,-47,-47.41818182,110,1.87392449,3,3.16228E-05,-10.36163292,1.8121E-05,-10.91843986,7.5,6.3,9.052071586,0.11047195,0.012204052,,1,0,,,,
10447,02/11/2006 00:48,1,0,90.7,00:14:bf:b1:97:90,-55,1.13964E+12,90,Jan-00,-55,-55.5,100,1.445997611,1,3.16228E-06,-12.66421801,2.81838E-06,-12.77934727,1,14,14,0.071428571,0.005102041,,0,0,,,,
10448,02/11/2006 00:48,1,0,90.7,00:14:bf:b1:97:8d,-67,1.13964E+12,90,Jan-00,-66,-66.11827957,93,1.634209438,3,1.99526E-07,-15.42732012,2.4444E-07,-15.22429649,33.5,9.3,33.80443758,0.029581915,0.00087509,,0,0,,,,
10449,02/11/2006 00:48,1,0,90.7,00:14:bf:b1:97:81,-64,1.13964E+12,90,Jan-00,-63,-64.43529412,85,3.652940951,6,3.98107E-07,-14.7365446,3.60139E-07,-14.83677477,33.5,2.8,32.62039239,0.03065567,0.00093977,,0,0,,,,
10450,02/11/2006 00:48,1,0,90.7,00:14:bf:3b:c7:c6,-69,1.13964E+12,90,Jan-00,-63,-64.4516129,93,3.005488201,6,1.25893E-07,-15.88783714,3.58789E-07,-14.84053231,12.8,-2.8,12.12765435,0.082456176,0.006799021,,0,0,,,,
11513,02/11/2006 00:49,1,0,135.2,00:14:bf:b1:97:8a,-31,1.13964E+12,135,Jan-00,-32,-31.90909091,99,1.4363425,2,0.000794328,-7.138013788,0.000644304,-7.347339706,2.5,-0.8,1.7,0.588235294,0.346020761,,0,1,,,,
11514,02/11/2006 00:49,1,0,135.2,00:0f:a3:39:e1:c0,-49,1.13964E+12,135,Jan-00,-50,-53.40909091,110,5.33517917,10,1.25893E-05,-11.28266696,4.56132E-06,-12.29789766,7.5,6.3,9.052071586,0.11047195,0.012204052,,1,1,0.005970822,1,0,0.11047195
11515,02/11/2006 00:49,1,0,135.2,00:14:bf:b1:97:90,-58,1.13964E+12,135,Jan-00,-55,-55.34736842,95,2.132666002,2,1.58489E-06,-13.35499354,2.9192E-06,-12.74420255,1,14,14,0.071428571,0.005102041,,0,1,,,,
11516,02/11/2006 00:49,1,0,135.2,00:14:bf:3b:c7:c6,-61,1.13964E+12,135,Jan-00,-64,-63.57291667,96,2.99383504,3,7.94328E-07,-14.04576907,4.39247E-07,-14.63820502,12.8,-2.8,12.12765435,0.082456176,0.006799021,,0,1,,,,
11517,02/11/2006 00:49,1,0,135.2,00:14:bf:b1:97:8d,-65,1.13964E+12,135,Jan-00,-66,-66.22988506,87,1.589947706,2,3.16228E-07,-14.9668031,2.38238E-07,-15.2499946,33.5,9.3,33.80443758,0.029581915,0.00087509,,0,1,,,,
11518,02/11/2006 00:49,1,0,135.2,00:14:bf:b1:97:81,-67,1.13964E+12,135,Jan-00,-67,-67.15294118,85,2.254655936,3,1.99526E-07,-15.42732012,1.92622E-07,-15.46253613,33.5,2.8,32.62039239,0.03065567,0.00093977,,0,1,,,,
12501,02/11/2006 00:50,1,0,180.1,00:14:bf:b1:97:8a,-31,1.13964E+12,180,Jan-00,-32,-32.20588235,102,3.175831489,2,0.000794328,-7.138013788,0.000601744,-7.415678461,2.5,-0.8,1.7,0.588235294,0.346020761,,0,0,,,,
12502,02/11/2006 00:50,1,0,180.1,00:0f:a3:39:e1:c0,-50,1.13964E+12,180,Jan-00,-49,-50.70909091,110,6.743458202,4,0.00001,-11.51292546,8.49358E-06,-11.67619968,7.5,6.3,9.052071586,0.11047195,0.012204052,,1,0,,,,
12503,02/11/2006 00:50,1,0,180.1,00:14:bf:b1:97:90,-58,1.13964E+12,180,Jan-00,-57,-58.02150538,93,3.858864709,6,1.58489E-06,-13.35499354,1.57706E-06,-13.35994534,1,14,14,0.071428571,0.005102041,,0,0,,,,
12504,02/11/2006 00:50,1,0,180.1,00:14:bf:b1:97:8d,-64,1.13964E+12,180,Jan-00,-62,-61.57894737,95,1.44824874,2.5,3.98107E-07,-14.7365446,6.95193E-07,-14.17907663,33.5,9.3,33.80443758,0.029581915,0.00087509,,0,0,,,,
12505,02/11/2006 00:50,1,0,180.1,00:14:bf:3b:c7:c6,-67,1.13964E+12,180,Jan-00,-64,-63.78947368,95,2.206830484,3.5,1.99526E-07,-15.42732012,4.17881E-07,-14.68806912,12.8,-2.8,12.12765435,0.082456176,0.006799021,,0,0,,,,
12516,02/11/2006 00:50,1,0,180.1,00:14:bf:b1:97:81,-70,1.13964E+12,180,Jan-00,-67,-67.30851064,94,2.204719258,3,0.0000001,-16.11809565,1.85844E-07,-15.49835732,33.5,2.8,32.62039239,0.03065567,0.00093977,,0,0,,,,
13535,02/11/2006 00:51,1,0,225.7,00:14:bf:b1:97:8a,-36,1.13964E+12,225,Jan-00,-34,-34.3047619,105,0.951959614,1,0.000251189,-8.289306335,0.000371128,-7.898963338,2.5,-0.8,1.7,0.588235294,0.346020761,,0,0,,,,
13536,02/11/2006 00:51,1,0,225.7,00:14:bf:b1:97:81,-61,1.13964E+12,225,Jan-00,-63,-65.47727273,88,5.112475777,4.5,7.94328E-07,-14.04576907,2.83317E-07,-15.07669921,33.5,2.8,32.62039239,0.03065567,0.00093977,,0,0,,,,
13537,02/11/2006 00:51,1,0,225.7,00:0f:a3:39:e1:c0,-57,1.13964E+12,225,Jan-00,-48,-51.90909091,110,7.118325561,8,1.99526E-06,-13.12473503,6.44304E-06,-11.95250989,7.5,6.3,9.052071586,0.11047195,0.012204052,,1,0,,,,
13538,02/11/2006 00:51,1,0,225.7,00:14:bf:b1:97:90,-55,1.13964E+12,225,Jan-00,-57,-57.92708333,96,2.757744279,5,3.16228E-06,-12.66421801,1.61173E-06,-13.33820386,1,14,14,0.071428571,0.005102041,,0,0,,,,
13539,02/11/2006 00:51,1,0,225.7,00:14:bf:3b:c7:c6,-62,1.13964E+12,225,Jan-00,-63,-65.01041667,96,5.424107575,2.25,6.30957E-07,-14.27602758,3.1547E-07,-14.96920163,12.8,-2.8,12.12765435,0.082456176,0.006799021,,0,0,,,,
13540,02/11/2006 00:51,1,0,225.7,00:14:bf:b1:97:8d,-67,1.13964E+12,225,Jan-00,-68,-68.42682927,82,1.27686429,1,1.99526E-07,-15.42732012,1.43654E-07,-15.7558597,33.5,9.3,33.80443758,0.029581915,0.00087509,,0,0,,,,
14583,02/11/2006 00:53,1,0,269.7,00:0f:a3:39:e1:c0,-51,1.13964E+12,270,Jan-00,-52,-53.08181818,110,4.082030027,2,7.94328E-06,-11.74318397,4.91834E-06,-12.22254033,7.5,6.3,9.052071586,0.11047195,0.012204052,,1,0,,,,
14584,02/11/2006 00:53,1,0,269.7,00:14:bf:b1:97:90,-58,1.13964E+12,270,Jan-00,-57,-57.18181818,99,1.612221413,2,1.58489E-06,-13.35499354,1.91345E-06,-13.16660021,1,14,14,0.071428571,0.005102041,,0,0,,,,
14586,02/11/2006 00:53,1,0,269.7,00:14:bf:b1:97:81,-74,1.13964E+12,270,Jan-00,-71,-70.71428571,84,2.779318754,2.25,3.98107E-08,-17.03912969,8.48343E-08,-16.28256601,33.5,2.8,32.62039239,0.03065567,0.00093977,,0,0,,,,
14591,02/11/2006 00:53,1,0,269.7,00:14:bf:b1:97:8a,-35,1.13964E+12,270,Jan-00,-34,-34.42424242,99,4.091032775,2,0.000316228,-8.059047825,0.000361057,-7.926474744,2.5,-0.8,1.7,0.588235294,0.346020761,,0,0,,,,
14594,02/11/2006 00:53,1,0,269.7,00:14:bf:3b:c7:c6,-66,1.13964E+12,270,Jan-00,-62,-62.85555556,90,3.09969593,4,2.51189E-07,-15.19706161,5.18137E-07,-14.47302652,12.8,-2.8,12.12765435,0.082456176,0.006799021,,0,0,,,,
14595,02/11/2006 00:53,1,0,269.7,00:14:bf:b1:97:8d,-68,1.13964E+12,270,Jan-00,-65,-65.59770115,87,3.853297501,2,1.58489E-07,-15.65757863,2.75569E-07,-15.10442888,33.5,9.3,33.80443758,0.029581915,0.00087509,,0,0,,,,
15610,02/11/2006 00:54,1,0,315.3,00:14:bf:b1:97:90,-52,1.13964E+12,315,Jan-00,-54,-53.08080808,99,1.860857646,1.5,6.30957E-06,-11.97344248,4.91948E-06,-12.22230774,1,14,14,0.071428571,0.005102041,,0,0,,,,
15611,02/11/2006 00:54,1,0,315.3,00:0f:a3:39:e1:c0,-51,1.13964E+12,315,Jan-00,-54,-53.64545455,110,1.456314083,3,7.94328E-06,-11.74318397,4.31971E-06,-12.35232239,7.5,6.3,9.052071586,0.11047195,0.012204052,,1,0,,,,
15612,02/11/2006 00:54,1,0,315.3,00:14:bf:3b:c7:c6,-65,1.13964E+12,315,Jan-00,-61,-61.19,100,1.152029391,2,3.16228E-07,-14.9668031,7.60326E-07,-14.08951818,12.8,-2.8,12.12765435,0.082456176,0.006799021,,0,0,,,,
15613,02/11/2006 00:54,1,0,315.3,00:14:bf:b1:97:8d,-65,1.13964E+12,315,Jan-00,-65,-66.17105263,76,3.172331037,1.25,3.16228E-07,-14.9668031,2.41488E-07,-15.23644794,33.5,9.3,33.80443758,0.029581915,0.00087509,,0,0,,,,
15614,02/11/2006 00:54,1,0,315.3,00:14:bf:b1:97:81,-64,1.13964E+12,315,Jan-00,-70,-70.11627907,86,1.647947777,2,3.98107E-07,-14.7365446,9.73581E-08,-16.1448699,33.5,2.8,32.62039239,0.03065567,0.00093977,,0,0,,,,
15619,02/11/2006 00:54,1,0,315.3,00:14:bf:b1:97:8a,-44,1.13964E+12,315,Jan-00,-41,-42.05617978,89,2.564440177,5,3.98107E-05,-10.13137441,6.22848E-05,-9.683793262,2.5,-0.8,1.7,0.588235294,0.346020761,,0,0,,,,
16530,02/11/2006 00:55,2,0,0.3,00:14:bf:b1:97:8a,-49,1.13964E+12,0,Feb-00,-41,-40.82653061,98,2.528295584,1,1.25893E-05,-11.28266696,8.26698E-05,-9.400656079,2.5,-0.8,0.943398113,1.05999788,1.123595506,,0,0,,,,
16531,02/11/2006 00:55,2,0,0.3,00:0f:a3:39:e1:c0,-59,1.13964E+12,0,Feb-00,-56,-56.11926606,109,2.163351184,2,1.25893E-06,-13.58525205,2.44384E-06,-12.92193854,7.5,6.3,8.363013811,0.119574118,0.01429797,,1,0,,,,
16532,02/11/2006 00:55,2,0,0.3,00:14:bf:b1:97:81,-70,1.13964E+12,0,Feb-00,-69,-67.80722892,83,2.769422901,5,0.0000001,-16.11809565,1.65683E-07,-15.61319145,33.5,2.8,31.62419959,0.031621354,0.00099991,,0,0,,,,
