"","time","posX","posY","orientation","mac","signal","rawTime","angle","posXY"
"34",2006-02-11 14:14:38,0,0.05,130.5,"00:0f:a3:39:dd:cd",-66,1139692478059,135,"0-0.05"
"35",2006-02-11 14:14:38,0,0.05,130.5,"00:14:bf:3b:c7:c6",-68,1139692478059,135,"0-0.05"
"40",2006-02-11 14:14:38,0,0.05,130.5,"00:14:bf:b1:97:8a",-42,1139692478311,135,"0-0.05"
"41",2006-02-11 14:14:38,0,0.05,130.5,"00:0f:a3:39:e1:c0",-51,1139692478311,135,"0-0.05"
"42",2006-02-11 14:14:38,0,0.05,130.5,"00:14:bf:b1:97:81",-60,1139692478311,135,"0-0.05"
"43",2006-02-11 14:14:38,0,0.05,130.5,"00:14:bf:3b:c7:c6",-59,1139692478311,135,"0-0.05"
"44",2006-02-11 14:14:38,0,0.05,130.5,"00:14:bf:b1:97:8d",-64,1139692478311,135,"0-0.05"
"45",2006-02-11 14:14:38,0,0.05,130.5,"00:0f:a3:39:dd:cd",-61,1139692478311,135,"0-0.05"
"48",2006-02-11 14:14:38,0,0.05,130.5,"00:14:bf:b1:97:90",-57,1139692478563,135,"0-0.05"
"49",2006-02-11 14:14:38,0,0.05,130.5,"00:0f:a3:39:e1:c0",-51,1139692478563,135,"0-0.05"
"50",2006-02-11 14:14:38,0,0.05,130.5,"00:14:bf:b1:97:8a",-43,1139692478563,135,"0-0.05"
"51",2006-02-11 14:14:38,0,0.05,130.5,"00:14:bf:3b:c7:c6",-62,1139692478563,135,"0-0.05"
"52",2006-02-11 14:14:38,0,0.05,130.5,"00:14:bf:b1:97:8d",-63,1139692478563,135,"0-0.05"
"53",2006-02-11 14:14:38,0,0.05,130.5,"00:0f:a3:39:dd:cd",-62,1139692478563,135,"0-0.05"
"55",2006-02-11 14:14:38,0,0.05,130.5,"00:14:bf:b1:97:81",-57,1139692478563,135,"0-0.05"
"59",2006-02-11 14:14:38,0,0.05,130.5,"00:14:bf:b1:97:8a",-44,1139692478819,135,"0-0.05"
"60",2006-02-11 14:14:38,0,0.05,130.5,"00:0f:a3:39:e1:c0",-50,1139692478819,135,"0-0.05"
"61",2006-02-11 14:14:38,0,0.05,130.5,"00:14:bf:3b:c7:c6",-62,1139692478819,135,"0-0.05"
"62",2006-02-11 14:14:38,0,0.05,130.5,"00:14:bf:b1:97:90",-56,1139692478819,135,"0-0.05"
"63",2006-02-11 14:14:38,0,0.05,130.5,"00:0f:a3:39:dd:cd",-61,1139692478819,135,"0-0.05"
"64",2006-02-11 14:14:38,0,0.05,130.5,"00:14:bf:b1:97:8d",-63,1139692478819,135,"0-0.05"
"69",2006-02-11 14:14:39,0,0.05,130.5,"00:0f:a3:39:e1:c0",-51,1139692479071,135,"0-0.05"
"70",2006-02-11 14:14:39,0,0.05,130.5,"00:14:bf:b1:97:81",-60,1139692479071,135,"0-0.05"
"71",2006-02-11 14:14:39,0,0.05,130.5,"00:14:bf:3b:c7:c6",-59,1139692479071,135,"0-0.05"
"72",2006-02-11 14:14:39,0,0.05,130.5,"00:14:bf:b1:97:8d",-64,1139692479071,135,"0-0.05"
"73",2006-02-11 14:14:39,0,0.05,130.5,"00:0f:a3:39:dd:cd",-65,1139692479071,135,"0-0.05"
"78",2006-02-11 14:14:39,0,0.05,130.5,"00:14:bf:b1:97:8a",-40,1139692479323,135,"0-0.05"
"79",2006-02-11 14:14:39,0,0.05,130.5,"00:0f:a3:39:e1:c0",-50,1139692479323,135,"0-0.05"
"80",2006-02-11 14:14:39,0,0.05,130.5,"00:14:bf:b1:97:90",-49,1139692479323,135,"0-0.05"
"81",2006-02-11 14:14:39,0,0.05,130.5,"00:14:bf:3b:c7:c6",-62,1139692479323,135,"0-0.05"
"82",2006-02-11 14:14:39,0,0.05,130.5,"00:14:bf:b1:97:8d",-64,1139692479323,135,"0-0.05"
"84",2006-02-11 14:14:39,0,0.05,130.5,"00:0f:a3:39:dd:cd",-63,1139692479323,135,"0-0.05"
"88",2006-02-11 14:14:39,0,0.05,130.5,"00:14:bf:b1:97:8a",-41,1139692479575,135,"0-0.05"
"89",2006-02-11 14:14:39,0,0.05,130.5,"00:0f:a3:39:e1:c0",-51,1139692479575,135,"0-0.05"
"90",2006-02-11 14:14:39,0,0.05,130.5,"00:14:bf:b1:97:81",-59,1139692479575,135,"0-0.05"
"91",2006-02-11 14:14:39,0,0.05,130.5,"00:14:bf:3b:c7:c6",-61,1139692479575,135,"0-0.05"
"92",2006-02-11 14:14:39,0,0.05,130.5,"00:14:bf:b1:97:8d",-63,1139692479575,135,"0-0.05"
"94",2006-02-11 14:14:39,0,0.05,130.5,"00:0f:a3:39:dd:cd",-62,1139692479575,135,"0-0.05"
"98",2006-02-11 14:14:39,0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,1139692479827,135,"0-0.05"
"99",2006-02-11 14:14:39,0,0.05,130.5,"00:14:bf:b1:97:90",-58,1139692479827,135,"0-0.05"
"100",2006-02-11 14:14:39,0,0.05,130.5,"00:14:bf:b1:97:81",-59,1139692479827,135,"0-0.05"
"101",2006-02-11 14:14:39,0,0.05,130.5,"00:14:bf:b1:97:8d",-65,1139692479827,135,"0-0.05"
"102",2006-02-11 14:14:39,0,0.05,130.5,"00:14:bf:3b:c7:c6",-68,1139692479827,135,"0-0.05"
"103",2006-02-11 14:14:39,0,0.05,130.5,"00:0f:a3:39:dd:cd",-67,1139692479827,135,"0-0.05"
"107",2006-02-11 14:14:40,0,0.05,130.5,"00:14:bf:b1:97:8a",-41,1139692480079,135,"0-0.05"
"108",2006-02-11 14:14:40,0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,1139692480079,135,"0-0.05"
"109",2006-02-11 14:14:40,0,0.05,130.5,"00:14:bf:b1:97:90",-56,1139692480079,135,"0-0.05"
"110",2006-02-11 14:14:40,0,0.05,130.5,"00:14:bf:3b:c7:c6",-61,1139692480079,135,"0-0.05"
"111",2006-02-11 14:14:40,0,0.05,130.5,"00:14:bf:b1:97:81",-61,1139692480079,135,"0-0.05"
"113",2006-02-11 14:14:40,0,0.05,130.5,"00:0f:a3:39:dd:cd",-63,1139692480079,135,"0-0.05"
"116",2006-02-11 14:14:40,0,0.05,130.5,"00:0f:a3:39:e1:c0",-51,1139692480331,135,"0-0.05"
"117",2006-02-11 14:14:40,0,0.05,130.5,"00:14:bf:3b:c7:c6",-61,1139692480331,135,"0-0.05"
"118",2006-02-11 14:14:40,0,0.05,130.5,"00:14:bf:b1:97:81",-66,1139692480331,135,"0-0.05"
"119",2006-02-11 14:14:40,0,0.05,130.5,"00:0f:a3:39:dd:cd",-66,1139692480331,135,"0-0.05"
"120",2006-02-11 14:14:40,0,0.05,130.5,"00:14:bf:b1:97:90",-56,1139692480331,135,"0-0.05"
"125",2006-02-11 14:14:40,0,0.05,130.5,"00:14:bf:b1:97:8a",-40,1139692480583,135,"0-0.05"
"126",2006-02-11 14:14:40,0,0.05,130.5,"00:0f:a3:39:e1:c0",-50,1139692480583,135,"0-0.05"
"127",2006-02-11 14:14:40,0,0.05,130.5,"00:14:bf:b1:97:90",-58,1139692480583,135,"0-0.05"
"128",2006-02-11 14:14:40,0,0.05,130.5,"00:14:bf:3b:c7:c6",-62,1139692480583,135,"0-0.05"
"131",2006-02-11 14:14:40,0,0.05,130.5,"00:0f:a3:39:dd:cd",-64,1139692480583,135,"0-0.05"
"134",2006-02-11 14:14:40,0,0.05,130.5,"00:14:bf:b1:97:8a",-40,1139692480835,135,"0-0.05"
"135",2006-02-11 14:14:40,0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,1139692480835,135,"0-0.05"
"136",2006-02-11 14:14:40,0,0.05,130.5,"00:14:bf:b1:97:90",-55,1139692480835,135,"0-0.05"
"137",2006-02-11 14:14:40,0,0.05,130.5,"00:14:bf:b1:97:81",-57,1139692480835,135,"0-0.05"
"138",2006-02-11 14:14:40,0,0.05,130.5,"00:14:bf:3b:c7:c6",-60,1139692480835,135,"0-0.05"
"139",2006-02-11 14:14:40,0,0.05,130.5,"00:14:bf:b1:97:8d",-62,1139692480835,135,"0-0.05"
"142",2006-02-11 14:14:40,0,0.05,130.5,"00:0f:a3:39:dd:cd",-62,1139692480835,135,"0-0.05"
"144",2006-02-11 14:14:41,0,0.05,130.5,"00:14:bf:b1:97:90",-49,1139692481087,135,"0-0.05"
"145",2006-02-11 14:14:41,0,0.05,130.5,"00:0f:a3:39:e1:c0",-50,1139692481087,135,"0-0.05"
"146",2006-02-11 14:14:41,0,0.05,130.5,"00:14:bf:b1:97:8a",-39,1139692481087,135,"0-0.05"
"147",2006-02-11 14:14:41,0,0.05,130.5,"00:14:bf:3b:c7:c6",-61,1139692481087,135,"0-0.05"
"148",2006-02-11 14:14:41,0,0.05,130.5,"00:0f:a3:39:dd:cd",-66,1139692481087,135,"0-0.05"
"152",2006-02-11 14:14:41,0,0.05,130.5,"00:14:bf:b1:97:8a",-39,1139692481339,135,"0-0.05"
"153",2006-02-11 14:14:41,0,0.05,130.5,"00:14:bf:b1:97:8a",-39,1139692481339,135,"0-0.05"
"154",2006-02-11 14:14:41,0,0.05,130.5,"00:14:bf:b1:97:90",-58,1139692481339,135,"0-0.05"
"155",2006-02-11 14:14:41,0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,1139692481339,135,"0-0.05"
"156",2006-02-11 14:14:41,0,0.05,130.5,"00:14:bf:3b:c7:c6",-61,1139692481339,135,"0-0.05"
"157",2006-02-11 14:14:41,0,0.05,130.5,"00:14:bf:b1:97:81",-60,1139692481339,135,"0-0.05"
"158",2006-02-11 14:14:41,0,0.05,130.5,"00:14:bf:3b:c7:c6",-68,1139692481339,135,"0-0.05"
"159",2006-02-11 14:14:41,0,0.05,130.5,"00:0f:a3:39:dd:cd",-66,1139692481339,135,"0-0.05"
"162",2006-02-11 14:14:41,0,0.05,130.5,"00:14:bf:b1:97:8a",-39,1139692481591,135,"0-0.05"
"163",2006-02-11 14:14:41,0,0.05,130.5,"00:14:bf:b1:97:8a",-40,1139692481591,135,"0-0.05"
"164",2006-02-11 14:14:41,0,0.05,130.5,"00:14:bf:b1:97:90",-58,1139692481591,135,"0-0.05"
"165",2006-02-11 14:14:41,0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,1139692481591,135,"0-0.05"
"166",2006-02-11 14:14:41,0,0.05,130.5,"00:0f:a3:39:dd:cd",-62,1139692481591,135,"0-0.05"
"167",2006-02-11 14:14:41,0,0.05,130.5,"00:14:bf:b1:97:8d",-63,1139692481591,135,"0-0.05"
"171",2006-02-11 14:14:41,0,0.05,130.5,"00:14:bf:b1:97:8a",-38,1139692481847,135,"0-0.05"
"172",2006-02-11 14:14:41,0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,1139692481847,135,"0-0.05"
"173",2006-02-11 14:14:41,0,0.05,130.5,"00:14:bf:b1:97:90",-57,1139692481847,135,"0-0.05"
"174",2006-02-11 14:14:41,0,0.05,130.5,"00:14:bf:3b:c7:c6",-64,1139692481847,135,"0-0.05"
"175",2006-02-11 14:14:41,0,0.05,130.5,"00:14:bf:b1:97:8d",-63,1139692481847,135,"0-0.05"
"176",2006-02-11 14:14:41,0,0.05,130.5,"00:14:bf:b1:97:81",-68,1139692481847,135,"0-0.05"
"179",2006-02-11 14:14:41,0,0.05,130.5,"00:0f:a3:39:dd:cd",-60,1139692481847,135,"0-0.05"
"181",2006-02-11 14:14:42,0,0.05,130.5,"00:14:bf:b1:97:8a",-40,1139692482099,135,"0-0.05"
"182",2006-02-11 14:14:42,0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,1139692482099,135,"0-0.05"
"183",2006-02-11 14:14:42,0,0.05,130.5,"00:14:bf:b1:97:8d",-62,1139692482099,135,"0-0.05"
"184",2006-02-11 14:14:42,0,0.05,130.5,"00:0f:a3:39:dd:cd",-66,1139692482099,135,"0-0.05"
"185",2006-02-11 14:14:42,0,0.05,130.5,"00:14:bf:3b:c7:c6",-64,1139692482099,135,"0-0.05"
"188",2006-02-11 14:14:42,0,0.05,130.5,"00:14:bf:b1:97:81",-58,1139692482099,135,"0-0.05"
"191",2006-02-11 14:14:42,0,0.05,130.5,"00:14:bf:b1:97:8a",-38,1139692482351,135,"0-0.05"
"192",2006-02-11 14:14:42,0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,1139692482351,135,"0-0.05"
"193",2006-02-11 14:14:42,0,0.05,130.5,"00:14:bf:b1:97:90",-55,1139692482351,135,"0-0.05"
"194",2006-02-11 14:14:42,0,0.05,130.5,"00:14:bf:b1:97:81",-61,1139692482351,135,"0-0.05"
"195",2006-02-11 14:14:42,0,0.05,130.5,"00:14:bf:3b:c7:c6",-64,1139692482351,135,"0-0.05"
"196",2006-02-11 14:14:42,0,0.05,130.5,"00:14:bf:b1:97:8d",-64,1139692482351,135,"0-0.05"
"197",2006-02-11 14:14:42,0,0.05,130.5,"00:0f:a3:39:dd:cd",-62,1139692482351,135,"0-0.05"
"202",2006-02-11 14:14:42,0,0.05,130.5,"00:14:bf:b1:97:8a",-38,1139692482603,135,"0-0.05"
"203",2006-02-11 14:14:42,0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,1139692482603,135,"0-0.05"
"204",2006-02-11 14:14:42,0,0.05,130.5,"00:14:bf:b1:97:90",-58,1139692482603,135,"0-0.05"
"205",2006-02-11 14:14:42,0,0.05,130.5,"00:14:bf:b1:97:81",-61,1139692482603,135,"0-0.05"
"206",2006-02-11 14:14:42,0,0.05,130.5,"00:0f:a3:39:dd:cd",-62,1139692482603,135,"0-0.05"
"211",2006-02-11 14:14:42,0,0.05,130.5,"00:14:bf:b1:97:8a",-39,1139692482856,135,"0-0.05"
"212",2006-02-11 14:14:42,0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,1139692482856,135,"0-0.05"
"213",2006-02-11 14:14:42,0,0.05,130.5,"00:14:bf:b1:97:81",-58,1139692482856,135,"0-0.05"
"214",2006-02-11 14:14:42,0,0.05,130.5,"00:14:bf:b1:97:90",-58,1139692482856,135,"0-0.05"
"215",2006-02-11 14:14:42,0,0.05,130.5,"00:14:bf:b1:97:8d",-62,1139692482856,135,"0-0.05"
"216",2006-02-11 14:14:42,0,0.05,130.5,"00:14:bf:3b:c7:c6",-70,1139692482856,135,"0-0.05"
"217",2006-02-11 14:14:42,0,0.05,130.5,"00:0f:a3:39:dd:cd",-62,1139692482856,135,"0-0.05"
"221",2006-02-11 14:14:43,0,0.05,130.5,"00:14:bf:b1:97:8a",-41,1139692483108,135,"0-0.05"
"222",2006-02-11 14:14:43,0,0.05,130.5,"00:14:bf:b1:97:90",-49,1139692483108,135,"0-0.05"
"223",2006-02-11 14:14:43,0,0.05,130.5,"00:0f:a3:39:e1:c0",-54,1139692483108,135,"0-0.05"
"224",2006-02-11 14:14:43,0,0.05,130.5,"00:14:bf:b1:97:81",-62,1139692483108,135,"0-0.05"
"225",2006-02-11 14:14:43,0,0.05,130.5,"00:14:bf:b1:97:8d",-64,1139692483108,135,"0-0.05"
"226",2006-02-11 14:14:43,0,0.05,130.5,"00:0f:a3:39:dd:cd",-63,1139692483108,135,"0-0.05"
"227",2006-02-11 14:14:43,0,0.05,130.5,"00:14:bf:3b:c7:c6",-68,1139692483108,135,"0-0.05"
"232",2006-02-11 14:14:43,0,0.05,130.5,"00:14:bf:b1:97:8a",-38,1139692483360,135,"0-0.05"
"233",2006-02-11 14:14:43,0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,1139692483360,135,"0-0.05"
"234",2006-02-11 14:14:43,0,0.05,130.5,"00:14:bf:b1:97:81",-62,1139692483360,135,"0-0.05"
"235",2006-02-11 14:14:43,0,0.05,130.5,"00:14:bf:b1:97:8d",-63,1139692483360,135,"0-0.05"
"238",2006-02-11 14:14:43,0,0.05,130.5,"00:0f:a3:39:dd:cd",-64,1139692483360,135,"0-0.05"
"241",2006-02-11 14:14:43,0,0.05,130.5,"00:14:bf:b1:97:8a",-41,1139692483612,135,"0-0.05"
"242",2006-02-11 14:14:43,0,0.05,130.5,"00:14:bf:b1:97:8d",-63,1139692483612,135,"0-0.05"
"243",2006-02-11 14:14:43,0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,1139692483612,135,"0-0.05"
"244",2006-02-11 14:14:43,0,0.05,130.5,"00:0f:a3:39:dd:cd",-67,1139692483612,135,"0-0.05"
"245",2006-02-11 14:14:43,0,0.05,130.5,"00:14:bf:3b:c7:c6",-68,1139692483612,135,"0-0.05"
"249",2006-02-11 14:14:43,0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,1139692483864,135,"0-0.05"
"250",2006-02-11 14:14:43,0,0.05,130.5,"00:14:bf:b1:97:8a",-42,1139692483864,135,"0-0.05"
"251",2006-02-11 14:14:43,0,0.05,130.5,"00:14:bf:b1:97:8a",-42,1139692483864,135,"0-0.05"
"252",2006-02-11 14:14:43,0,0.05,130.5,"00:14:bf:b1:97:90",-51,1139692483864,135,"0-0.05"
"253",2006-02-11 14:14:43,0,0.05,130.5,"00:14:bf:3b:c7:c6",-60,1139692483864,135,"0-0.05"
"254",2006-02-11 14:14:43,0,0.05,130.5,"00:14:bf:3b:c7:c6",-60,1139692483864,135,"0-0.05"
"255",2006-02-11 14:14:43,0,0.05,130.5,"00:14:bf:b1:97:8d",-61,1139692483864,135,"0-0.05"
"256",2006-02-11 14:14:43,0,0.05,130.5,"00:14:bf:b1:97:81",-63,1139692483864,135,"0-0.05"
"258",2006-02-11 14:14:43,0,0.05,130.5,"00:0f:a3:39:dd:cd",-61,1139692483864,135,"0-0.05"
"262",2006-02-11 14:14:44,0,0.05,130.5,"00:14:bf:b1:97:8a",-41,1139692484116,135,"0-0.05"
"263",2006-02-11 14:14:44,0,0.05,130.5,"00:14:bf:b1:97:8a",-51,1139692484116,135,"0-0.05"
"264",2006-02-11 14:14:44,0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,1139692484116,135,"0-0.05"
"265",2006-02-11 14:14:44,0,0.05,130.5,"00:14:bf:b1:97:81",-59,1139692484116,135,"0-0.05"
"266",2006-02-11 14:14:44,0,0.05,130.5,"00:14:bf:b1:97:8d",-63,1139692484116,135,"0-0.05"
"267",2006-02-11 14:14:44,0,0.05,130.5,"00:14:bf:3b:c7:c6",-67,1139692484116,135,"0-0.05"
"268",2006-02-11 14:14:44,0,0.05,130.5,"00:0f:a3:39:dd:cd",-69,1139692484116,135,"0-0.05"
"273",2006-02-11 14:14:44,0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,1139692484368,135,"0-0.05"
"274",2006-02-11 14:14:44,0,0.05,130.5,"00:14:bf:b1:97:90",-56,1139692484368,135,"0-0.05"
"275",2006-02-11 14:14:44,0,0.05,130.5,"00:14:bf:b1:97:81",-60,1139692484368,135,"0-0.05"
"276",2006-02-11 14:14:44,0,0.05,130.5,"00:14:bf:b1:97:8a",-41,1139692484368,135,"0-0.05"
"277",2006-02-11 14:14:44,0,0.05,130.5,"00:14:bf:b1:97:8d",-62,1139692484368,135,"0-0.05"
"278",2006-02-11 14:14:44,0,0.05,130.5,"00:14:bf:3b:c7:c6",-63,1139692484368,135,"0-0.05"
"279",2006-02-11 14:14:44,0,0.05,130.5,"00:0f:a3:39:dd:cd",-67,1139692484368,135,"0-0.05"
"282",2006-02-11 14:14:44,0,0.05,130.5,"00:14:bf:b1:97:8a",-41,1139692484624,135,"0-0.05"
"283",2006-02-11 14:14:44,0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,1139692484624,135,"0-0.05"
"284",2006-02-11 14:14:44,0,0.05,130.5,"00:14:bf:b1:97:90",-57,1139692484624,135,"0-0.05"
"285",2006-02-11 14:14:44,0,0.05,130.5,"00:14:bf:b1:97:81",-61,1139692484624,135,"0-0.05"
"286",2006-02-11 14:14:44,0,0.05,130.5,"00:14:bf:3b:c7:c6",-69,1139692484624,135,"0-0.05"
"287",2006-02-11 14:14:44,0,0.05,130.5,"00:14:bf:b1:97:8d",-61,1139692484624,135,"0-0.05"
"289",2006-02-11 14:14:44,0,0.05,130.5,"00:0f:a3:39:dd:cd",-67,1139692484624,135,"0-0.05"
"292",2006-02-11 14:14:44,0,0.05,130.5,"00:14:bf:b1:97:8a",-41,1139692484876,135,"0-0.05"
"293",2006-02-11 14:14:44,0,0.05,130.5,"00:14:bf:b1:97:81",-59,1139692484876,135,"0-0.05"
"294",2006-02-11 14:14:44,0,0.05,130.5,"00:14:bf:b1:97:90",-57,1139692484876,135,"0-0.05"
"295",2006-02-11 14:14:44,0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,1139692484876,135,"0-0.05"
"296",2006-02-11 14:14:44,0,0.05,130.5,"00:14:bf:b1:97:81",-68,1139692484876,135,"0-0.05"
"297",2006-02-11 14:14:44,0,0.05,130.5,"00:0f:a3:39:dd:cd",-65,1139692484876,135,"0-0.05"
"300",2006-02-11 14:14:44,0,0.05,130.5,"00:14:bf:b1:97:8d",-62,1139692484876,135,"0-0.05"
"301",2006-02-11 14:14:45,0,0.05,130.5,"00:14:bf:b1:97:8a",-43,1139692485128,135,"0-0.05"
"302",2006-02-11 14:14:45,0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,1139692485128,135,"0-0.05"
"303",2006-02-11 14:14:45,0,0.05,130.5,"00:14:bf:b1:97:90",-58,1139692485128,135,"0-0.05"
"304",2006-02-11 14:14:45,0,0.05,130.5,"00:14:bf:b1:97:8d",-62,1139692485128,135,"0-0.05"
"305",2006-02-11 14:14:45,0,0.05,130.5,"00:14:bf:3b:c7:c6",-63,1139692485128,135,"0-0.05"
"307",2006-02-11 14:14:45,0,0.05,130.5,"00:0f:a3:39:dd:cd",-62,1139692485128,135,"0-0.05"
"311",2006-02-11 14:14:45,0,0.05,130.5,"00:14:bf:b1:97:8a",-42,1139692485380,135,"0-0.05"
"312",2006-02-11 14:14:45,0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,1139692485380,135,"0-0.05"
"313",2006-02-11 14:14:45,0,0.05,130.5,"00:14:bf:3b:c7:c6",-63,1139692485380,135,"0-0.05"
"315",2006-02-11 14:14:45,0,0.05,130.5,"00:0f:a3:39:dd:cd",-63,1139692485380,135,"0-0.05"
"319",2006-02-11 14:14:45,0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,1139692485632,135,"0-0.05"
"320",2006-02-11 14:14:45,0,0.05,130.5,"00:14:bf:b1:97:8d",-62,1139692485632,135,"0-0.05"
"321",2006-02-11 14:14:45,0,0.05,130.5,"00:14:bf:3b:c7:c6",-62,1139692485632,135,"0-0.05"
"323",2006-02-11 14:14:45,0,0.05,130.5,"00:14:bf:b1:97:81",-61,1139692485632,135,"0-0.05"
"324",2006-02-11 14:14:45,0,0.05,130.5,"00:0f:a3:39:dd:cd",-61,1139692485632,135,"0-0.05"
"327",2006-02-11 14:14:45,0,0.05,130.5,"00:0f:a3:39:dd:cd",-72,1139692485632,135,"0-0.05"
"330",2006-02-11 14:14:45,0,0.05,130.5,"00:14:bf:b1:97:8a",-38,1139692485884,135,"0-0.05"
"331",2006-02-11 14:14:45,0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,1139692485884,135,"0-0.05"
"332",2006-02-11 14:14:45,0,0.05,130.5,"00:14:bf:b1:97:90",-56,1139692485884,135,"0-0.05"
"333",2006-02-11 14:14:45,0,0.05,130.5,"00:14:bf:b1:97:8d",-64,1139692485884,135,"0-0.05"
"334",2006-02-11 14:14:45,0,0.05,130.5,"00:14:bf:b1:97:81",-61,1139692485884,135,"0-0.05"
"337",2006-02-11 14:14:45,0,0.05,130.5,"00:0f:a3:39:dd:cd",-62,1139692485884,135,"0-0.05"
"340",2006-02-11 14:14:46,0,0.05,130.5,"00:14:bf:b1:97:8a",-38,1139692486136,135,"0-0.05"
"341",2006-02-11 14:14:46,0,0.05,130.5,"00:14:bf:b1:97:90",-50,1139692486136,135,"0-0.05"
"342",2006-02-11 14:14:46,0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,1139692486136,135,"0-0.05"
"343",2006-02-11 14:14:46,0,0.05,130.5,"00:14:bf:b1:97:81",-58,1139692486136,135,"0-0.05"
"344",2006-02-11 14:14:46,0,0.05,130.5,"00:14:bf:3b:c7:c6",-63,1139692486136,135,"0-0.05"
"345",2006-02-11 14:14:46,0,0.05,130.5,"00:14:bf:b1:97:8d",-63,1139692486136,135,"0-0.05"
"347",2006-02-11 14:14:46,0,0.05,130.5,"00:0f:a3:39:dd:cd",-63,1139692486136,135,"0-0.05"
"350",2006-02-11 14:14:46,0,0.05,130.5,"00:14:bf:b1:97:8a",-38,1139692486388,135,"0-0.05"
"351",2006-02-11 14:14:46,0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,1139692486388,135,"0-0.05"
"352",2006-02-11 14:14:46,0,0.05,130.5,"00:14:bf:b1:97:90",-57,1139692486388,135,"0-0.05"
